epoch,train_loss,val_loss,val_f1,val_miss,val_fpr,gen_f1,gen_miss,gen_fpr,threshold
1,0.277241,0.639967,0.505857,0.052033,0.111335,0.858222,0.074614,0.042919,0.4040
2,0.272156,0.659323,0.557024,0.074797,0.086392,0.874217,0.087264,0.032568,0.5960
3,0.270306,0.653378,0.557297,0.074797,0.086292,0.874473,0.088122,0.032249,0.5960
4,0.272598,0.639457,0.547459,0.071545,0.090516,0.868866,0.085120,0.035474,0.5480
5,0.269837,0.661786,0.577846,0.079675,0.078246,0.876129,0.095412,0.029781,0.6920
6,0.268912,0.637428,0.559330,0.076423,0.085286,0.872168,0.087907,0.033324,0.5960
7,0.266601,0.641216,0.559606,0.076423,0.085186,0.874422,0.087050,0.032528,0.5480
8,0.263935,0.673668,0.557409,0.076423,0.085990,0.869796,0.088336,0.034280,0.6440
9,0.265619,0.639482,0.578141,0.079675,0.078145,0.877255,0.092839,0.029900,0.6440
10,0.266588,0.658109,0.565717,0.079675,0.082470,0.873213,0.089623,0.032448,0.6440
11,0.264870,0.639217,0.580380,0.081301,0.077140,0.876269,0.093482,0.030179,0.6440
12,0.263735,0.639115,0.575496,0.079675,0.079051,0.874587,0.092410,0.031174,0.6440
13,0.263326,0.628750,0.572295,0.079675,0.080157,0.875504,0.091552,0.030975,0.5960
14,0.266880,0.622912,0.568273,0.079675,0.081565,0.875129,0.090909,0.031294,0.5960
15,0.266454,0.642895,0.570131,0.081301,0.080660,0.874755,0.091767,0.031254,0.6440
16,0.266891,0.637950,0.580113,0.084553,0.076737,0.874831,0.095626,0.030298,0.6920
17,0.264977,0.623199,0.548775,0.071545,0.090013,0.867629,0.085120,0.036031,0.5000
18,0.263610,0.618958,0.578597,0.081301,0.077743,0.875648,0.094125,0.030298,0.6440
19,0.259970,0.639831,0.566850,0.079675,0.082068,0.871531,0.090909,0.032886,0.6440
20,0.263438,0.630829,0.583851,0.082927,0.075732,0.877456,0.094983,0.029303,0.6440
21,0.264925,0.626175,0.581743,0.082927,0.076436,0.876153,0.093696,0.030179,0.6440
22,0.262974,0.636722,0.578462,0.082927,0.077542,0.877051,0.094554,0.029582,0.6440
23,0.263781,0.624590,0.564589,0.079675,0.082872,0.875168,0.089837,0.031532,0.5960
24,0.263080,0.631705,0.576237,0.081301,0.078548,0.875595,0.093053,0.030577,0.6440
25,0.259945,0.641966,0.574619,0.079675,0.079352,0.874573,0.093268,0.030975,0.6440
26,0.263982,0.633814,0.570995,0.081301,0.080358,0.874148,0.093053,0.031214,0.6440
27,0.261460,0.630888,0.573313,0.081301,0.079553,0.874599,0.093053,0.031015,0.6440
28,0.260379,0.634113,0.559172,0.078049,0.085085,0.871080,0.088765,0.033603,0.5960
29,0.262372,0.635221,0.580247,0.082927,0.076939,0.875104,0.095626,0.030179,0.6920
30,0.262942,0.631391,0.585062,0.082927,0.075329,0.875715,0.097341,0.029502,0.6920
